SMILES,source_file
[H]c1c([H])c2c(c([H])c1OC(=O)N([H])C([H])([H])[H])[C@]1(C([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])[H])[C@]1([H])N2C([H])([H])[H],trainingset_covalent_smiles.csv
[H]c1c([H])c(Cl)c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c(Cl)c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c2c(c([H])c1OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])N2C([H])([H])[H],trainingset_covalent_smiles.csv
[H]c1c([H])c(C([H])([H])[H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c(C([H])([H])[H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c([H])c([H])c1OC([H])([H])[H],trainingset_covalent_smiles.csv
[H]c1c([H])c(OC([H])([H])[H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c(OC([H])([H])[H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c([H])c([H])c1F,trainingset_covalent_smiles.csv
[H]c1c([H])c2c(c([H])c1OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])(c1c([H])c([H])c(C(F)(F)F)c([H])c1[H])N2C([H])([H])[H],trainingset_covalent_smiles.csv
[H]c1nc([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c1[H],trainingset_covalent_smiles.csv
[H]c1nc([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c([H])c1[H],trainingset_covalent_smiles.csv
