PubChemID,Type,SMILES,covalent
138611145,Misc,CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F,1
164510774,Misc,CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCC7C(C6)OC7=O,1
122724,Misc,CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C)O,1
5281435,Misc,CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO,1
14314508,Misc,CC1=CC2C(C(CC3(C(=O)C=C1O3)C)OC(=O)C(=C)C)C(=C)C(=O)O2,1
442266,Misc,CC1=C2C(C3C(C(C1)O)C(=C)C(=O)O3)C(=CC2=O)CO,1
446378,Misc,CCCCCCCC(=O)OC1C2C(=C(C1OC(=O)C(=CC)C)C)C3C(C(CC2(C)OC(=O)C)OC(=O)CCC)(C(C(=O)O3)(C)O)O,1
71602803,Misc,CC(C)N1C(=CC=N1)C2=C(C=CC=N2)COC3=CC=CC(=C3C=O)O,1
5358393,Misc,CC(=C)C(=O)OC1CC2(C(=O)C=C(O2)C(=CC3C1C(=C)C(=O)O3)CO)C,1
5321010,Misc,CC1(CCC(C23C1C(C(C45C2CCC(C4O)C(=C)C5=O)(OC3)O)O)O)C,1
443059,Misc,CCC1CCCC(C(C(=O)C2=CC3C4CC(CC4C=CC3C2CC(=O)O1)OC5C(C(C(C(O5)C)OC)OC)OC)C)OC6CCC(C(O6)C)N(C)C,1
9835049,antibiotics,C1CC(N2CC1N(C2=O)OS(=O)(=O)O)C(=O)N,1
216324,antibiotics,COC1=C(C=C(C=C1)NS(=O)(=O)C2=C(C(=C(C(=C2F)F)F)F)F)F,1
