ID,SMILES
161,O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC3)C[C@@H](O)CC4)C)CC2)CC1)C
162,O[C@@H]1[C@@H]([C@@H]2[NH]([C@@H](CC2)C1)C)C(=O)[O]
163,O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=C[C@@H](O)CC4)CC3)C)CC2)CC1)C
164,Clc1c(CC(N)(C)C)cccc1
165,O(c1c(C[C@H](N)C)cc(OC)c(c1)C)C
166,Cl[C@H]1[C@H]2[C@H]3[C@@]([C@](O)([C@@H](C3)C)C(=O)CO)(C[C@H](O)[C@@H]2[C@@]2(C(=CC(=O)C=C2)C1)C)C
167,O=C(N1CCCC1)C([C@@H](CN1CCOCC1)C)(c1ccccc1)c1ccccc1
168,O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@@H](CC3)C[C@H](O)CC4)C)CC2)CC1)C
169,O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(O)cc3)CCC2
170,O=C(N([C@@H]1CCN(CC1)[C@@H](Cc1ccccc1)C)c1ccccc1)C
171,s1c(C(=C[C@H](N(CC)CC)C)c2sccc2)ccc1
172,ClC(Cl)(Cl)[C@H](O[C@@H](CC(O)(C)C)C)O
173,O(C(=O)C1(N(c2ccccc2)C(=O)CC)CCN(CC1)CCc1ccccc1)C
174,O=C1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)CC1)C
175,Brc1c(OC)cc(CCN)c(OC)c1
176,O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(OC)cc3)CC[C@@H]2OC(=O)C
177,O=C1NC(=O)NC(=O)C1(CC(C)C)CC=C
178,N1(C2(CCCCC2)C#N)CCCCC1
179,O[C@@]1([C@@]2([C@H]([C@H]3[C@H](CC2)[C@@H]2C(=C(O)C(=O)CC2)CC3)CC1)C)C
180,O[C@@H]1[C@@]2([C@H]([C@H]3[C@H](CC2)[C@@]2(C(=CC(=O)C=C2)CC3)C)CC1)C
181,O([C@]1([C@@H](CN(CC1)C)CC=C)c1ccccc1)C(=O)CC
182,O[C@@H]1[C@@]2([C@H]([C@H]3[C@H](CC2)[C@@H]2C(=CC(=O)CC2)CC3)CC1)CC
183,Fc1c(C2=NCC(=O)N(c3c2cc(N(=O)=O)cc3)C)cccc1
184,Clc1cc2C(=N[C@@H](C(=O)Nc2cc1)C(=O)OCC)c1c(F)cccc1
185,[nH]1c2c(c(C[C@H](N)CC)c1)cccc2
186,O[C@@]12[C@]3(C[C@H](O)CC2)CCN([C@H]1Cc1c3c(OC)c(OC)cc1)C
187,O1[C@@H]2[C@]34[C@@]5([C@H](N(CC3)CC3CC3)Cc3c4c1c(O)cc3)C[C@@H]([C@]2(OC)CC5)C(O)(C)C
188,Clc1nc2n([C@@H]3O[C@@H]([C@@H](O)C3)CO)cnc2c(n1)N
189,N1(C2(CCCCC2)c2ccccc2)CCCC1
190,N([C@H](Cc1ccccc1)C)CCC#N
191,O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(OC)cc3)CC[C@@H]2O
192,O([C@]1([C@@H](CN(CC1)C)CC)c1ccccc1)C(=O)CC
193,Clc1c([C@]23OCC[N@]2CC(=O)Nc2c3cc(Cl)cc2)cccc1
194,O[C@@H]1[C@@]2([C@H]([C@H]3[C@H](CC2)[C@@H]2C(=C[C@@H](O)CC2)CC3)CC1)C
195,O([C@@H](C(C[C@H](N(C)C)C)(c1ccccc1)c1ccccc1)CC)C(=O)C
196,Clc1ccc(CC(N)(C)C)cc1
197,O=C(N([C@H]1CCN(CC1)[C@@H](Cc1ccccc1)C)c1ccccc1)CC
198,Brc1cc2c(NC(=O)CN=C2c2ncccc2)cc1
199,O[C@H](CN1CCN(CC1)CC(=O)Nc1c(cccc1C)C)COc1c(OC)cccc1
200,Clc1c(C2=NCC(=O)N(c3sc(cc23)CC)C)cccc1
201,O=C([C@@H](N)C)c1ccccc1
202,O=C1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@@H](CC3)CC(=O)CC4)C)CC2)CC1)C
203,O(C1(CCN(CC1)CCc1ccccc1)c1ccccc1)C(=O)C
204,ClC(Cl)(Cl)C(O)O
205,O[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)C[C@@H]3C)C)CC2)CC1)C)C
206,O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(O)cc3)CC[C@@H]2O
207,O1c2cc(C[C@H](NCC)C)ccc2OC1
208,Clc1cc2c(N(C(=O)CN=C2c2c(F)cccc2)C)cc1
209,O1[C@@H]2[C@]34[C@H]([C@H]([N]([O])(CC3)C)Cc3c4c1c(OC)cc3)C=C[C@@H]2O
210,Oc1c(cc(N)cc1)C(=O)O
211,O[C@@]1([C@@]2([C@H]([C@H]3[C@H]([C@H](O)C2)[C@@]2(C(=CC(=O)C(=C2)C=O)CC3)C)CC1)C)C
212,O[C@@H](CN1C[C@@H]([C@@H](N(c2ccccc2)C(=O)CC)CC1)C)c1ccccc1
213,O=C(N([C@H]1[C@@H](CN(CC1)CCc1ccccc1)C)c1ccccc1)CC
214,O[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@@H](CC3)CC(=O)C=C4)C)CC2)CC1)C)C
215,O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(OCc1ccccc1)cc3)C=C[C@@H]2O
216,N[C@H](Cc1ccccc1)C
217,N([C@H](Cc1ccccc1)C)C
218,Ic1c(C(=O)N[C@H]([C@@H](O)[C@H](O)[C@H](O)CO)C=O)c(I)c(NC(=O)C)c(I)c1N(C)C(=O)C
219,O1[C@H]([C@@H](N(CC1)C)C)c1ccccc1
220,O(C[C@H](O)CNC(C)C)c1c(OCC=C)cccc1
221,Clc1c(CCN2CCN(CC2)c2nsc3c2cccc3)cc2c(NC(=O)C2)c1
222,O1[C@H]([C@@H](O)CO)C(=C(O)C1=O)O
223,S(=O)(=O)(Nc1nc(ccn1)C)c1ccc(N)cc1
224,S(=O)(=O)(Nc1nc(cc(n1)C)C)c1ccc(N)cc1
225,O[C@@H]1[C@H]2[C@H]3[C@@]([C@H](CC3)[C@@H](CCC(=O)O)C)(CC[C@@H]2[C@@]2([C@H](C1)C[C@H](O)CC2)C)C
226,Clc1cc2[C@@]3(OC(=CC(=O)N3CC(=O)N(c2cc1)C)C)c1ccccc1
227,Clc1cc2c(N(CC3CC3)C(=O)CN=C2c2ccccc2)cc1
228,Clc1cc2c(N(CC(F)(F)F)C(=S)CN=C2c2c(F)cccc2)cc1
229,O([C@@H]1[C@@H]2CC[N@](C1)CC2)C(=O)N1[C@H](c2c(CC1)cccc2)c1ccccc1
230,Clc1cc2c(N(CCC#N)C(=O)[C@@H](O)N=C2c2c(F)cccc2)cc1
231,O=C1Nc2c(C(=NC1)c1ccccc1)cc(N(=O)=O)cc2
232,S(CCCC[CH]/C(=[NH]/C(=O)[C@@H]1C(C1)(C)C)/C(=O)O)C[C@H](N)C(=O)O
233,O=C(N[C@H](CC)CO)[C@H]1CN([C@H]2C(=C1)c1c3c(C2)cn(c3ccc1)C)C
234,S(C1=C(N2[C@@H]([C@H](C2=O)[C@H](O)C)C1)C(=O)O)CC[N]C=[NH2]
235,S(c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)C(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)(C)C
236,s1c([C@@H](C)C(=O)O)ccc1C(=O)c1ccccc1
237,S1[C@H]2N([C@H](C1(C)C)C(=O)O[C@H](OC(=O)OCC)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1
238,S1[C@H]2N([C@H](C1(C)C)C(=O)O)C(=O)[C@H]2NC(=O)c1c(OC)cccc1OC
239,S1[C@H]2N([C@H](C1(C)C)C(=O)OCOC(=O)C(C)(C)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1
240,S1[C@H]2N([C@H](C1(C)C)C(=O)OCOC(=O)C(C)(C)C)C(=O)[C@H]2[N][CH]N1CCCCCC1
241,S1(=O)(=O)[C@]([C@@H](N2[C@H]1CC2=O)C(=O)O)(Cn1nncc1)C
242,S1[C@H]2N([C@H](C1(C)C)C(=O)O)C(=O)[C@H]2NC(=O)[C@@H](c1ccsc1)C(=O)O
243,S1c2c(N(CCCN3CCC(O)CC3)c3c1cccc3)cc(cc2)C#N
244,O=C(N(CCCN(C)C)C(=O)NCC)[C@@H]1C[C@H]2[C@H](N(C1)CC=C)Cc1c3c2cccc3[nH]c1
245,O([C@@H](COC(=O)[C@@H](N)C(C)C)CO)Cn1c2[nH]c(nc(=O)c2nc1)N
246,Clc1cc2nccc(N[C@@H](CCCN(CCO)CC)C)c2cc1
247,O([N][O])CCCCC
